AnimalName,AnimalGender,BreedName,Borough,LicenseIssuedDate
AFRICA,F,Yorkshire Terrier,Bronx,12/31/2016
APOLLO,M,Norwegian Elkhound,Brooklyn,12/31/2016
APRIL,F,Terrier mix,Manhattan,12/31/2016
BELLA,F,Chihuahua,Bronx,12/31/2016
BELLA,F,Havanese,Bronx,12/31/2016
BIBI,M,American Pit Bull Mix / Pit Bull Mix,Bronx,12/31/2016
BISCUIT,M,Yorkshire Terrier,Manhattan,12/31/2016
BOBO,F,"Poodle, Standard",Brooklyn,12/31/2016
BRADY,M,Rat Terrier,Manhattan,12/31/2016
BRANDO,M,English Springer Spaniel,Manhattan,12/31/2016
BRODY ,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,12/31/2016
BRUNO,M,Shih Tzu,Brooklyn,12/31/2016
BRUNO ,M,American Pit Bull Terrier/Pit Bull,Brooklyn,12/31/2016
CAMARENA,M,Poodle,Brooklyn,12/31/2016
CAPELLAN,M,Yorkshire Terrier,Staten Island,12/31/2016
CARAMEL,F,Maltese,Manhattan,12/31/2016
CHARRIE,F,Unknown,Manhattan,12/31/2016
CHICO,M,Unknown,Brooklyn,12/31/2016
CHOW-CHOW ,F,Chow Chow,Brooklyn,12/31/2016
CLEMENTINE,F,Unknown,Brooklyn,12/31/2016
CORA,F,American Pit Bull Terrier/Pit Bull,Queens,12/31/2016
DAISY,F,Labrador Retriever,Queens,12/31/2016
DEAN,M,Yorkshire Terrier,Queens,12/31/2016
DELLA,F,Golden Retriever,Bronx,12/31/2016
DJ,M,Cocker Spaniel,Queens,12/31/2016
DODGE,M,Pug,Queens,12/31/2016
EDDIE,M,Terrier mix,Brooklyn,12/31/2016
EDISON,M,Alaskan Malamute,Staten Island,12/31/2016
EMERALD,F,American Staffordshire Terrier ,Queens,12/31/2016
FREJYA,F,Samoyed,Brooklyn,12/31/2016
HARLEY,M,Shiba Inu,Brooklyn,12/31/2016
HUGO,M,Brussels Griffon,Queens,12/31/2016
IKE,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,12/31/2016
JACKI,F,Miniature Pinscher,Queens,12/31/2016
JOSIE,F,Basset Hound,Staten Island,12/31/2016
JUPITER ,M,Chihuahua Crossbreed,Manhattan,12/31/2016
KARMA,F,Havanese,Queens,12/31/2016
KIWI,F,Australian Shepherd,Staten Island,12/31/2016
KRAFCSIK,M,Shih Tzu,Brooklyn,12/31/2016
KYANDI,F,Shih Tzu,Staten Island,12/31/2016
LUCA,M,Yorkshire Terrier,Queens,12/31/2016
MABEL,F,Beagle Crossbreed,Brooklyn,12/31/2016
MAGGIE,F,Shih Tzu,Queens,12/31/2016
